Nodo;OC;+;-;*;/;%;=;!;<;>;&;|;^;~;?;:;.;,;";";(;);{;};[;];@;#;$;Ë;ç;"""";';_;0-1;02-jul;08-sep;X;x;B;b;O;o;L;l;D;d;[Aa] ;[Cc];[Ee-Ff];[Gg-Kk];[Mm-Nn] ;[Pp-Ww] ;[Yy-Zz];\n;Espacios;Taps;\0
0;508;12;15;26;29;35;47;51;37;41;21;19;24;18;7;8;10;11;9;2;1;6;5;4;3;61;63;72;74;76;85;87;508;78;78;78;54;54;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;0;0;0
1;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50
2;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49
3;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48
4;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47
5;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46;-46
6;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45
7;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32;-32
8;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10
9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9
10;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8
11;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7
12;-11;13;-11;-11;-11;-11;14;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11
13;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
14;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34;-34
15;-12;-12;16;-12;-12;-12;17;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12
16;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
17;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35;-35
18;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
19;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;20;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4
20;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31;-31
21;-5;-5;-5;-5;-5;-5;23;-5;-5;-5;22;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5
22;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30
23;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39
24;-6;-6;-6;-6;-6;-6;25;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6
25;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40
26;-13;-13;-13;27;-13;-13;28;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13
27;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16;-16
28;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36
29;-14;-14;-14;31;30;-14;34;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14
30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-52;30;30;-52
31;31;31;31;32;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;510
32;31;31;31;31;33;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;510
33;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51
34;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37
35;-15;-15;-15;-15;-15;-15;36;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15
36;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38
37;-20;-20;-20;-20;-20;-20;39;-20;38;40;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20
38;-17;-17;-17;-17;-17;-17;92;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17
39;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22;-22
40;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26;-26
41;-21;-21;-21;-21;-21;-21;45;-21;-21;42;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21
42;-18;-18;-18;-18;-18;-18;46;-18;-18;43;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18;-18
43;-19;-19;-19;-19;-19;-19;44;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19;-19
