;main;reg;var;def;id;";";,;[;];Binario;Const Decimal;Const Octal;Const Hexadecimal;ConstReal;ConstCadena;true;false;ConstExponencial;null;+;-;(;);=;+=;-=;/=;*=;++;--;!;~;CLEAR;SQRT;POW;SQRTV;STRLEN;concat;copy;val;str;sin;cos ;tan ;chr ;pred;succ;inc;dec;sqr;?;Console.read;Console.log;if;{;while;do;return;for ;switch;};elseif;else;:;case;default;|;||;&;&&;<¾;>=;<=;!=;==;>;<<;>>;>>>;*;/;#;%;^;break
PROGRAMA;1;1;1;1;1;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
Y1;147;5;6;7;8;147;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513
Y2;514;514;514;514;514;3;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;147;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514
Y3;515;515;515;515;515;515;10;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;147;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515
Y4;516;11;516;516;12;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516
Y5;517;517;517;517;517;517;14;517;147;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517
Y6;518;518;518;518;518;147;147;16;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518
Y7;559;559;559;559;559;147;15;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559
Y8;520;520;520;520;520;147;20;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520
CONSTNUMERICA;521;521;521;521;521;521;521;521;521;21;22;23;24;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521
